instance family sequential-induced-except-0-pf sequential-induced-except-0-pd sequential-d2-induced-except-0-pf sequential-d2-induced-except-0-pd sequential-induced-except-1-pf sequential-induced-except-1-pd sequential-d2-induced-except-1-pf sequential-d2-induced-except-1-pd sequential-induced-except-2-pf sequential-induced-except-2-pd sequential-d2-induced-except-2-pf sequential-d2-induced-except-2-pd sequential-induced-except-3-pf sequential-induced-except-3-pd sequential-d2-induced-except-3-pf sequential-d2-induced-except-3-pd sequential-induced-except-4-pf sequential-induced-except-4-pd sequential-d2-induced-except-4-pf sequential-d2-induced-except-4-pd sequential-induced-except-5-pf sequential-induced-except-5-pd sequential-d2-induced-except-5-pf sequential-d2-induced-except-5-pd sequential-induced-except-10-pf sequential-induced-except-10-pd sequential-d2-induced-except-10-pf sequential-d2-induced-except-10-pd sequential-induced-except-20-pf sequential-induced-except-20-pd sequential-d2-induced-except-20-pf sequential-d2-induced-except-20-pd
E.04 1 988017 139516 988017 139611 989345 134448 989345 134843 990116 129392 990116 130103 990564 126672 990564 127465 990635 124619 990635 125307 990926 123165 990926 123634 991807 123209 991807 123229 992092 133096 992092 133096
C.01 1 997291 12570 997162 34358 997748 11710 997748 11972 997855 11587 997855 11587 997833 11888 997833 11888 997833 11888 997833 11888 997833 11888 997833 11888 997833 11888 997833 11888 997833 11888 997833 11888
B.10 1 995662 21115 995050 55079 996313 19440 996313 20074 996476 19627 996476 19645 996403 19849 996403 19849 996403 19849 996403 19849 996403 19849 996403 19849 996403 19849 996403 19849 996403 19849 996403 19849
A.15 1 987182 58971 986071 139238 989010 56551 989010 60728 989349 56843 989349 56959 989598 57515 989598 57515 989598 57515 989598 57515 989598 57515 989598 57515 989598 57515 989598 57515 989598 57515 989598 57515
C.19 1 997321 12657 997083 34094 997841 11692 997841 11947 997895 11729 997895 11731 997833 12030 997833 12030 997833 12030 997833 12030 997833 12030 997833 12030 997833 12030 997833 12030 997833 12030 997833 12030
B.02 1 995653 21025 995201 56744 996376 19278 996376 19991 996369 19734 996369 19741 996403 19645 996403 19645 996403 19645 996403 19645 996403 19645 996403 19645 996403 19645 996403 19645 996403 19645 996403 19645
E.06 1 989195 159203 989195 159972 990297 152368 990297 153801 990440 147750 990440 149448 990964 144895 990964 146343 991129 142231 991129 143242 991170 141988 991170 142623 991514 142319 991514 142329 992038 151264 992038 151264
E.18 1 988537 162517 988537 167273 989711 157678 989711 164460 990460 152155 990460 158832 990862 149978 990862 154823 991090 147508 991090 150336 991264 147389 991264 148901 991772 150137 991772 150159 992153 160948 992153 160948
C.20 1 997234 12817 997184 34536 997730 11756 997730 11941 997887 12114 997887 12117 997833 12143 997833 12143 997833 12143 997833 12143 997833 12143 997833 12143 997833 12143 997833 12143 997833 12143 997833 12143
F.02 1 987421 125165 987421 125200 989425 122201 989425 122359 990298 119237 990298 119563 990672 117529 990672 117960 990900 115610 990900 115998 991241 115299 991241 115612 991568 119980 991568 119994 991963 133359 991963 133359
F.11 1 986059 144444 986059 144676 988974 139673 988974 140146 989753 135624 989753 136257 990395 132614 990395 133261 990694 130489 990694 130973 991027 128154 991027 128518 991473 130375 991473 130380 991999 144504 991999 144504
F.12 1 987344 143008 987344 143741 989280 138262 989280 140293 989935 133795 989935 136604 990562 129235 990562 131967 990699 126815 990699 128906 991112 126121 991112 127498 991455 128050 991455 128096 991998 140766 991998 140766
E.05 1 990582 128572 990582 128859 990903 126614 990903 126862 991132 125354 991132 125575 991000 124011 991000 124143 991259 124525 991259 124599 991445 125756 991445 125790 991755 130073 991755 130073 992274 143167 992274 143167
B.16 1 995675 21265 995238 56277 996281 19458 996281 20052 996442 19548 996442 19566 996403 20097 996403 20097 996403 20097 996403 20097 996403 20097 996403 20097 996403 20097 996403 20097 996403 20097 996403 20097
A.08 1 985944 61135 984041 144784 989223 56706 989223 62691 989528 57432 989528 57540 989598 58145 989598 58145 989598 58145 989598 58145 989598 58145 989598 58145 989598 58145 989598 58145 989598 58145 989598 58145
C.14 1 997304 12612 997277 34321 997889 11751 997889 11946 997940 12030 997940 12030 997833 12073 997833 12073 997833 12073 997833 12073 997833 12073 997833 12073 997833 12073 997833 12073 997833 12073 997833 12073
F.16 1 986376 130470 986376 130501 989264 123793 989264 123868 989984 119898 989984 120070 990474 118281 990474 118508 990865 116325 990865 116612 991020 116142 991020 116385 991483 117945 991483 117960 992009 130350 992009 130350
F.06 1 989378 125626 989378 126592 990370 118474 990370 121078 990803 115957 990803 118948 990997 115222 990997 117768 991311 114788 991311 116505 991292 115967 991292 117042 991778 119794 991778 119814 992099 131752 992099 131752
A.03 1 986601 63836 985354 157130 989178 58255 989287 64141 989506 58773 989506 59074 989598 59769 989598 59769 989598 59769 989598 59769 989598 59769 989598 59769 989598 59769 989598 59769 989598 59769 989598 59769
E.19 1 987690 140113 987690 140204 989417 134806 989417 135058 990482 129638 990482 130031 990707 125469 990707 125942 990974 123900 990974 124267 991106 123164 991106 123391 991774 125801 991774 125805 992272 135084 992272 135084
C.15 1 997299 12670 997075 32887 997813 11731 997813 11995 997795 11759 997795 11761 997833 11642 997833 11642 997833 11642 997833 11642 997833 11642 997833 11642 997833 11642 997833 11642 997833 11642 997833 11642
A.16 1 987639 60669 986678 146253 989375 57690 989375 62666 989432 58347 989432 58485 989598 57931 989598 57931 989598 57931 989598 57931 989598 57931 989598 57931 989598 57931 989598 57931 989598 57931 989598 57931
B.14 1 995618 21042 995161 53924 996399 19693 996399 20388 996518 19732 996518 19732 996403 19836 996403 19836 996403 19836 996403 19836 996403 19836 996403 19836 996403 19836 996403 19836 996403 19836 996403 19836
A.02 1 986804 61084 985354 145808 988982 57028 988982 62019 989279 58063 989279 58164 989598 58240 989598 58240 989598 58240 989598 58240 989598 58240 989598 58240 989598 58240 989598 58240 989598 58240 989598 58240
F.14 1 987131 138993 987131 139476 989253 135416 989253 136482 990265 131548 990265 133337 990704 127402 990704 129675 990878 125190 990878 127117 991223 125579 991223 126798 991850 129112 991850 129130 992016 141875 992016 141875
F.05 1 987407 133694 987407 133837 989355 128149 989355 128573 990340 123721 990340 124593 990790 121394 990790 122449 991168 119796 991168 120722 991221 119594 991221 120318 991612 122945 991612 122959 992000 132778 992000 132778
B.09 1 995750 20633 995478 53751 996363 19755 996363 20326 996470 19667 996470 19681 996403 19509 996403 19509 996403 19509 996403 19509 996403 19509 996403 19509 996403 19509 996403 19509 996403 19509 996403 19509
A.01 1 986846 61489 985868 149400 989323 58119 989133 62931 989321 58891 989321 59144 989598 58336 989598 58336 989598 58336 989598 58336 989598 58336 989598 58336 989598 58336 989598 58336 989598 58336 989598 58336
C.05 1 997295 12981 997098 34696 997714 11746 997714 12008 997860 11801 997860 11801 997833 12005 997833 12005 997833 12005 997833 12005 997833 12005 997833 12005 997833 12005 997833 12005 997833 12005 997833 12005
B.01 1 995474 20816 995226 53967 996336 19005 996336 19485 996359 19686 996359 19688 996403 19739 996403 19739 996403 19739 996403 19739 996403 19739 996403 19739 996403 19739 996403 19739 996403 19739 996403 19739
A.09 1 986424 58608 985479 139642 989192 56254 989192 60265 989302 57038 989302 57038 989598 57355 989598 57355 989598 57355 989598 57355 989598 57355 989598 57355 989598 57355 989598 57355 989598 57355 989598 57355
A.07 1 986018 60909 984450 143872 989030 56455 989030 61089 989350 56927 989350 57011 989598 57636 989598 57636 989598 57636 989598 57636 989598 57636 989598 57636 989598 57636 989598 57636 989598 57636 989598 57636
F.03 1 987272 133901 987272 134304 989069 131188 989069 132160 990045 126182 990045 127701 990507 122929 990507 124643 990838 120840 990838 122348 991107 119445 991107 120420 991701 121908 991701 121928 991978 133548 991978 133548
E.12 1 989580 138128 989580 138587 990190 132606 990190 133343 990260 129578 990260 130483 990790 126846 990790 127679 990957 125217 990957 125791 991117 124953 991117 125299 991803 127337 991803 127345 992275 138710 992275 138710
C.06 1 997284 12436 997127 33647 997802 11761 997802 11959 997831 12040 997831 12045 997833 11804 997833 11804 997833 11804 997833 11804 997833 11804 997833 11804 997833 11804 997833 11804 997833 11804 997833 11804
C.09 1 997283 12672 997155 34057 997775 11698 997775 11935 997788 11815 997788 11817 997833 11851 997833 11851 997833 11851 997833 11851 997833 11851 997833 11851 997833 11851 997833 11851 997833 11851 997833 11851
B.17 1 995659 20349 995480 53686 996402 19654 996402 20259 996550 19706 996550 19717 996403 19854 996403 19854 996403 19854 996403 19854 996403 19854 996403 19854 996403 19854 996403 19854 996403 19854 996403 19854
C.07 1 997369 12883 997228 34789 997797 11968 997797 12221 997882 12125 997882 12128 997833 11923 997833 11923 997833 11923 997833 11923 997833 11923 997833 11923 997833 11923 997833 11923 997833 11923 997833 11923
E.09 1 988803 149174 988803 149221 989816 143689 989816 143795 990221 138009 990221 138232 990866 134410 990866 134656 990782 131933 990782 132202 991257 131285 991257 131469 991671 131976 991671 131981 992219 140150 992219 140150
E.17 1 989949 147594 989949 148782 990620 142060 990620 144254 991120 138682 991120 140609 991091 137764 991091 138984 991326 138050 991326 138730 991435 138928 991435 139222 991957 142068 991957 142072 992400 153230 992400 153230
C.11 1 997358 12688 997285 34087 997731 11673 997731 11876 997879 11884 997879 11888 997833 11850 997833 11850 997833 11850 997833 11850 997833 11850 997833 11850 997833 11850 997833 11850 997833 11850 997833 11850
F.10 1 988251 158007 988251 158027 989590 152786 989590 152823 989963 146839 989963 146931 990606 142155 990606 142265 990768 139206 990768 139292 991056 136818 991056 136902 991526 138127 991526 138128 991997 150586 991997 150586
A.17 1 987056 61858 985391 146202 989027 56693 989027 61632 989220 57621 989220 57842 989598 57607 989598 57607 989598 57607 989598 57607 989598 57607 989598 57607 989598 57607 989598 57607 989598 57607 989598 57607
B.15 1 995533 21171 995327 54689 996269 19732 996269 20353 996505 19486 996505 19490 996403 19836 996403 19836 996403 19836 996403 19836 996403 19836 996403 19836 996403 19836 996403 19836 996403 19836 996403 19836
E.03 1 988494 152479 988494 153831 989504 145377 989504 147977 990425 139260 990425 142485 990732 136027 990732 138792 991085 133704 991085 135835 991243 132643 991243 133946 991725 136489 991725 136513 992029 147483 992029 147483
F.19 1 987895 157955 987895 158327 989925 149755 989925 150982 990698 146184 990698 147913 990967 144281 990967 145497 991127 143900 991127 144668 991411 143383 991411 143811 991866 145744 991866 145757 992241 155359 992241 155359
A.12 1 986585 60840 985515 138841 989025 56802 989025 61220 989526 57488 989526 57593 989598 57951 989598 57951 989598 57951 989598 57951 989598 57951 989598 57951 989598 57951 989598 57951 989598 57951 989598 57951
B.08 1 995528 20466 995017 53559 996320 19281 996320 19850 996568 19599 996568 19614 996403 19714 996403 19714 996403 19714 996403 19714 996403 19714 996403 19714 996403 19714 996403 19714 996403 19714 996403 19714
F.17 1 987529 128907 987529 129128 989742 119990 989742 120711 990313 115584 990313 117006 990645 112823 990645 114402 990893 110823 990893 112042 991246 111094 991246 111866 991696 116457 991696 116469 992113 127837 992113 127837
C.04 1 997326 12976 997239 34874 997809 11995 997809 12243 997832 11967 997832 11967 997833 11896 997833 11896 997833 11896 997833 11896 997833 11896 997833 11896 997833 11896 997833 11896 997833 11896 997833 11896
B.19 1 995574 21481 995284 56192 996306 19896 996306 20343 996516 19865 996516 19865 996403 19917 996403 19917 996403 19917 996403 19917 996403 19917 996403 19917 996403 19917 996403 19917 996403 19917 996403 19917
C.16 1 997291 12896 997069 34587 997886 11837 997886 12052 997916 12028 997916 12030 997833 12148 997833 12148 997833 12148 997833 12148 997833 12148 997833 12148 997833 12148 997833 12148 997833 12148 997833 12148
C.17 1 997312 12520 997099 34026 997878 11795 997878 12100 997853 11912 997853 11912 997833 11902 997833 11902 997833 11902 997833 11902 997833 11902 997833 11902 997833 11902 997833 11902 997833 11902 997833 11902
E.08 1 989698 140491 989698 143019 990345 135249 990345 138696 990752 132773 990752 135869 991090 130761 991090 133056 991362 129993 991362 131436 991516 129747 991516 130527 991895 132000 991895 132016 992157 141950 992157 141950
F.13 1 989045 115126 989045 116660 990256 111288 990256 114216 990566 108764 990566 112134 991186 106998 991186 109949 991173 106366 991173 108274 991215 106919 991215 108120 991581 111612 991581 111639 992075 127778 992075 127778
A.20 1 986216 60406 985016 142673 989027 56489 989027 61419 989239 57661 989239 57893 989598 57622 989598 57622 989598 57622 989598 57622 989598 57622 989598 57622 989598 57622 989598 57622 989598 57622 989598 57622
E.02 1 989902 137616 989902 139945 990462 133141 990462 136403 990724 130030 990724 133396 991167 128090 991167 130503 991322 127270 991322 128665 991277 127057 991277 127807 991774 130926 991774 130942 991968 143317 991968 143317
E.16 1 990203 141581 990203 141598 990685 136871 990685 136934 990967 134912 990967 134977 991228 133553 991228 133630 991403 133490 991403 133528 991571 134011 991571 134035 991783 137543 991783 137543 992028 148511 992028 148511
B.12 1 995569 20696 995284 55274 996414 19401 996414 20052 996453 19549 996453 19557 996403 19624 996403 19624 996403 19624 996403 19624 996403 19624 996403 19624 996403 19624 996403 19624 996403 19624 996403 19624
F.09 1 989377 139179 989377 139268 990272 132614 990272 132882 990805 129951 990805 130428 991103 128595 991103 129178 991188 127966 991188 128424 991220 128278 991220 128535 991612 132790 991612 132804 992080 145099 992080 145099
A.10 1 987109 60558 985617 143958 989183 57493 989183 62541 989243 58003 989243 58064 989598 58729 989598 58729 989598 58729 989598 58729 989598 58729 989598 58729 989598 58729 989598 58729 989598 58729 989598 58729
F.18 1 987606 134586 987606 134609 989182 130643 989182 130721 990388 127832 990388 127998 990693 125917 990693 126194 990985 124043 990985 124337 991100 123176 991100 123436 991556 125848 991556 125874 991933 137490 991933 137490
E.10 1 986502 134531 986502 134596 989115 131789 989115 132023 990146 126649 990146 127223 990756 123704 990756 124505 991151 123111 991151 123803 991307 122835 991307 123288 991589 126214 991589 126224 992217 138538 992217 138538
A.06 1 987192 61102 986230 142977 988957 56938 988957 61551 989555 57659 989555 57788 989598 57910 989598 57910 989598 57910 989598 57910 989598 57910 989598 57910 989598 57910 989598 57910 989598 57910 989598 57910
E.15 1 989475 161259 989475 162225 990258 156376 990258 157734 990709 151077 990709 152587 991096 148715 991096 149982 990996 146006 990996 146927 991337 144615 991337 145147 991719 146711 991719 146722 992308 158645 992308 158645
E.07 1 989043 164825 989043 167422 989857 158429 989857 162964 990463 154254 990463 159289 990825 150485 990825 154355 991105 148745 991105 151406 991249 148427 991249 149930 991663 150220 991663 150251 992116 159096 992116 159096
E.11 1 990209 166478 990209 171577 990911 160914 990911 166227 990971 158607 990971 162549 991272 156589 991272 158891 991403 155592 991403 156750 991315 155536 991315 156039 992039 159319 992039 159327 992436 170054 992436 170054
B.03 1 995604 20466 995426 55408 996286 19873 996286 20444 996431 19556 996431 19557 996403 19698 996403 19698 996403 19698 996403 19698 996403 19698 996403 19698 996403 19698 996403 19698 996403 19698 996403 19698
B.18 1 995515 20798 995195 53478 996226 19397 996226 19945 996529 19615 996529 19615 996403 19938 996403 19938 996403 19938 996403 19938 996403 19938 996403 19938 996403 19938 996403 19938 996403 19938 996403 19938
C.03 1 997338 12954 997120 34026 997820 11704 997820 11948 997778 11795 997778 11798 997833 12048 997833 12048 997833 12048 997833 12048 997833 12048 997833 12048 997833 12048 997833 12048 997833 12048 997833 12048
A.18 1 987136 60907 985492 149398 989244 57462 989244 63234 989214 58126 989214 58196 989598 58594 989598 58594 989598 58594 989598 58594 989598 58594 989598 58594 989598 58594 989598 58594 989598 58594 989598 58594
F.15 1 986684 141390 986684 142304 989194 136288 989194 138767 990343 132019 990343 135994 991060 130183 991060 133548 991278 129956 991278 132006 991394 129717 991394 130837 991851 134779 991851 134824 992222 145651 992222 145651
A.19 1 987212 59996 986317 142121 989101 56098 989101 60517 989297 56428 989297 56454 989598 56894 989598 56894 989598 56894 989598 56894 989598 56894 989598 56894 989598 56894 989598 56894 989598 56894 989598 56894
C.12 1 997332 12466 997037 33282 997817 11914 997817 12155 997823 11888 997823 11888 997833 11881 997833 11881 997833 11881 997833 11881 997833 11881 997833 11881 997833 11881 997833 11881 997833 11881 997833 11881
B.05 1 995385 20959 995153 55547 996378 19463 996378 20212 996427 19549 996427 19563 996403 20066 996403 20066 996403 20066 996403 20066 996403 20066 996403 20066 996403 20066 996403 20066 996403 20066 996403 20066
A.13 1 986617 59700 985795 142075 989306 56537 989196 59558 989387 57028 989387 57161 989598 57555 989598 57555 989598 57555 989598 57555 989598 57555 989598 57555 989598 57555 989598 57555 989598 57555 989598 57555
A.05 1 986551 59608 985730 139604 988826 57010 988826 61234 989422 57550 989422 57610 989598 58244 989598 58244 989598 58244 989598 58244 989598 58244 989598 58244 989598 58244 989598 58244 989598 58244 989598 58244
F.01 1 986623 146809 986623 147486 989101 139145 989101 140903 990148 133946 990148 136617 990929 131390 990929 133835 991192 129624 991192 131400 991515 128313 991515 129249 991790 131632 991790 131655 992180 143737 992180 143737
E.20 1 988385 162588 988385 163655 989615 157083 989615 159143 990227 151541 990227 153952 990648 147860 990648 149985 990830 143909 990830 145530 991044 141669 991044 142678 991677 142446 991677 142463 991992 151526 991992 151526
B.13 1 995463 20837 995195 54833 996234 19548 996234 20126 996469 19728 996469 19728 996403 19797 996403 19797 996403 19797 996403 19797 996403 19797 996403 19797 996403 19797 996403 19797 996403 19797 996403 19797
A.14 1 987521 61458 986103 151028 989112 58038 989112 62624 989533 58652 989533 58764 989598 59540 989598 59540 989598 59540 989598 59540 989598 59540 989598 59540 989598 59540 989598 59540 989598 59540 989598 59540
B.04 1 995711 20612 995288 54360 996305 19384 996305 19928 996313 19626 996313 19631 996403 19865 996403 19865 996403 19865 996403 19865 996403 19865 996403 19865 996403 19865 996403 19865 996403 19865 996403 19865
C.13 1 997320 12897 997159 34413 997771 11934 997771 12199 997757 11733 997757 11738 997833 12053 997833 12053 997833 12053 997833 12053 997833 12053 997833 12053 997833 12053 997833 12053 997833 12053 997833 12053
F.07 1 987957 139354 987957 139506 989706 137902 989706 138274 990568 135296 990568 136014 991082 133671 991082 134604 991301 132943 991301 133780 991463 132977 991463 133613 991872 137081 991872 137100 992311 147466 992311 147466
E.13 1 988912 135347 988912 135856 989695 130223 989695 131393 990167 126373 990167 127683 990574 123988 990574 125163 990595 121923 990595 122731 990903 121534 990903 122046 991246 122687 991246 122699 991753 135108 991753 135108
E.14 1 990055 143620 990055 147969 990657 139104 990657 144875 990851 136490 990851 141537 991049 134682 991049 137893 991291 134239 991291 136070 991531 133989 991531 134949 991731 137601 991731 137614 992130 150424 992130 150424
A.11 1 986658 61157 985499 145155 989284 56751 989074 60966 989459 57636 989459 57817 989598 57648 989598 57648 989598 57648 989598 57648 989598 57648 989598 57648 989598 57648 989598 57648 989598 57648 989598 57648
si6_r005_m400.07 7 993261 174243 993261 284363 993380 174537 993380 237270 993291 174691 993291 204394 993358 174826 993358 186479 993271 175019 993271 179027 993483 175220 993483 176490 993341 174805 993341 174807 993159 175286 993159 175286
si6_r005_m400.00 7 993350 173558 993350 283881 993341 174116 993341 236003 993361 173426 993361 202738 993374 173688 993374 185296 993316 174528 993316 178517 993372 175145 993372 176350 993370 173721 993370 173721 993159 174536 993159 174536
si6_r005_m400.01 7 993323 174998 993323 284626 993294 175218 993294 237922 993334 175672 993334 205400 993424 175263 993424 187343 993294 175573 993294 179760 993369 176053 993369 177453 993394 175241 993394 175243 993159 174739 993159 174739
si6_r005_m400.02 7 993368 175723 993368 291860 993275 176014 993275 243347 993341 176103 993341 208994 993472 176674 993472 190350 993153 175503 993153 180313 993356 175827 993356 177346 993385 175885 993385 175893 993159 176314 993159 176314
si6_r005_m400.04 7 993461 174592 993461 280820 993398 173839 993398 232852 993221 174397 993221 200800 993289 174228 993289 184195 993437 174137 993437 177486 993378 174752 993378 175824 993404 174717 993404 174717 993159 174328 993159 174328
si6_r005_m400.05 7 993312 172635 993312 277680 993457 172718 993457 229897 993378 172704 993378 198329 993350 172514 993350 182177 993365 173166 993365 176414 993261 173217 993261 174156 993359 173193 993359 173193 993159 173518 993159 173518
si6_r005_m400.09 7 993502 176200 993502 287326 993507 175993 993507 240554 993228 175669 993228 206841 993269 175903 993269 188962 993352 176118 993352 180908 993408 176757 993408 178265 993319 176144 993319 176144 993159 176089 993159 176089
si6_r005_m400.03 7 993267 175054 993267 285120 993257 174186 993257 235352 993285 174631 993285 203680 993282 174719 993282 186206 993248 175470 993248 179396 993238 174967 993238 176079 993454 175260 993454 175260 993159 174563 993159 174563
si6_r005_m400.06 7 993358 176557 993358 289910 993331 176725 993331 243439 993366 176759 993366 209831 993350 177456 993350 191466 993442 177171 993442 182393 993344 175875 993344 177593 993519 176942 993519 176942 993159 176469 993159 176469
si6_r005_m400.08 7 993186 175771 993186 286754 993346 175897 993346 240474 993266 175269 993266 206929 993448 175722 993448 189281 993260 175709 993260 180465 993291 175944 993291 177476 993306 175999 993306 175999 993159 176189 993159 176189
si6_m4Dr6_m625.04 6 994366 24475 994038 57840 995387 22852 995387 33691 995647 23078 995647 23212 995603 23577 995603 23577 995754 24011 995754 24011 995741 24008 995741 24008 995713 24229 995713 24229 995713 24229 995713 24229
si6_m4Dr6_m625.01 6 993941 26170 993537 60915 995272 24067 995272 36608 995645 24552 995645 24727 995711 24491 995711 24496 995654 25042 995654 25042 995667 25432 995667 25432 995713 25140 995713 25140 995713 25140 995713 25140
si6_m4Dr6_m625.09 6 994411 24459 994145 57951 995440 23291 995440 33899 995564 23295 995564 23461 995784 23904 995784 23905 995736 23989 995736 23989 995638 23937 995638 23937 995713 24056 995713 24056 995713 24056 995713 24056
si6_m4Dr6_m625.07 6 994093 24385 993825 57996 995331 23160 995331 34019 995593 23166 995593 23441 995575 23855 995575 23855 995699 24329 995699 24329 995745 24272 995745 24272 995713 24462 995713 24462 995713 24462 995713 24462
si6_m4Dr6_m625.00 6 994275 24636 994063 58559 995446 23005 995446 33810 995568 23125 995568 23236 995683 23854 995683 23854 995682 24021 995682 24021 995754 24114 995754 24114 995713 24151 995713 24151 995713 24151 995713 24151
si6_m4Dr6_m625.08 6 994626 23208 994561 54692 995522 21866 995522 30102 995652 22155 995652 22279 995693 22524 995693 22534 995614 22726 995614 22726 995683 23024 995683 23024 995713 22899 995713 22899 995713 22899 995713 22899
si6_m4Dr6_m625.05 6 993979 24968 993786 58157 995363 23014 995363 33424 995647 23509 995647 23651 995758 24063 995758 24063 995735 24341 995735 24341 995815 24327 995815 24327 995713 24502 995713 24502 995713 24502 995713 24502
si6_m4Dr6_m625.06 6 993937 26170 993707 60812 995256 23386 995256 33535 995556 23476 995556 23580 995609 23951 995609 23951 995792 24244 995792 24244 995644 24607 995644 24607 995780 24716 995780 24716 995713 24467 995713 24467
si6_m4Dr6_m625.02 6 994434 24519 994152 57945 995445 22732 995445 32698 995725 23042 995725 23158 995791 23227 995791 23227 995686 23509 995686 23509 995733 23745 995733 23745 995713 23617 995713 23617 995713 23617 995713 23617
si6_m4Dr6_m625.03 6 993922 25067 993522 58872 995447 23052 995447 33332 995695 23125 995695 23268 995667 23770 995667 23770 995666 24366 995666 24366 995729 24273 995729 24273 995713 24149 995713 24149 995713 24149 995713 24149
si4_m4Dr2_m625.09 6 993129 25049 992954 58197 994129 23756 994129 37581 994308 24271 994308 24481 994398 24878 994398 24878 994279 25173 994279 25173 994280 25303 994280 25303 994291 25458 994291 25458 994291 25458 994291 25458
si4_m4Dr2_m625.04 6 993096 25144 993183 60543 994358 23478 994358 36955 994348 24396 994348 24396 994378 25141 994378 25141 994350 25138 994350 25138 994399 25141 994399 25141 994291 25199 994291 25199 994291 25199 994291 25199
si4_m4Dr2_m625.02 6 992131 26108 992084 58093 993725 24026 993804 36241 994357 24827 994357 24944 994305 26007 994305 26007 994247 26490 994247 26490 994431 26525 994431 26525 994291 26496 994291 26496 994291 26496 994291 26496
si4_m4Dr2_m625.07 6 991738 26538 991474 61833 993871 25241 993926 41282 994247 26293 994247 26446 994429 26985 994429 26985 994361 27100 994361 27100 994370 27671 994370 27671 994291 27706 994291 27706 994291 27706 994291 27706
si4_m4Dr2_m625.00 6 992189 26856 992102 61609 993942 24040 993920 37654 994347 24719 994347 24774 994329 25097 994329 25097 994351 25999 994351 25999 994333 26126 994333 26126 994291 25839 994291 25839 994291 25839 994291 25839
