instance family sequential-d2-induced-except-0 sequential-d2-induced-except-1 sequential-d2-induced-except-2 sequential-d2-induced-except-3 sequential-d2-induced-except-4 sequential-d2-induced-except-5 sequential-d2-induced-except-10 sequential-d2-induced-except-20
g21-g84 11 1242 1374 1453 1516 1571 1635 2022 2734
g21-g85 11 471 461 460 460 485 477 462 460
g21-g87 11 510 589 507 556 613 527 571 516
g21-g88 11 507 507 512 513 513 512 513 515
g21-g89 11 549 515 543 514 514 520 515 496
g21-g90 11 1016 976 1012 975 983 976 977 979
g21-g91 11 1031 1068 1227 1030 1060 1061 1035 1030
g21-g92 11 1327 1326 1328 1328 1330 1361 1496 1347
g21-g94 11 1819 1822 1821 1913 1835 1822 2300 2131
g21-g95 11 2308 2194 2236 2199 2282 2223 2208 2144
g21-g96 11 2158 2145 2353 2371 2308 2158 2158 2192
g21-g97 11 2015 2170 2325 2148 2193 1980 2173 2272
g21-g98 11 2248 2169 2180 2168 2184 2203 2167 2267
g21-g99 11 2208 2293 2202 2110 2232 2233 2214 2226
g22-g100 11 2124 2149 2183 2255 2309 2299 1000001 1000001
g22-g101 11 2749 2818 2865 2905 2938 2949 1000001 1000001
g22-g102 11 2800 2870 2921 2959 2960 2971 1000002 1000005
g22-g103 11 3048 3097 3174 3175 3156 3198 1000002 1000005
g22-g104 11 7867 7882 8215 7673 1000004 1000005 1000007 1000006
g22-g105 11 7884 7998 8017 8289 1000007 1000011 1000008 1000009
g22-g106 11 18020 17987 18050 18443 1000011 1000009 1000015 1000014
g22-g107 11 17784 17776 18295 18202 1000014 1000013 1000014 1000014
g22-g108 11 21777 21858 22253 22383 1000015 1000012 1000015 1000012
g22-g109 11 22574 23817 23655 23811 23890 23317 1000012 1000015
g22-g110 11 31357 29679 31964 32258 33078 31489 1000011 1000015
g22-g111 11 33931 34281 34464 34616 1000004 1000013 1000009 1000021
g22-g112 11 51351 46502 51657 52161 46847 58594 1000017 1000020
g22-g51 11 9 16 60 362 17369 638179 1000000 1000000
g22-g52 11 7 8 9 10 11 12 343461 1000000
g22-g53 11 12 14 14 21 992122 1000000 1000000 1000000
g22-g54 11 28 29 30 50 37 42 1000000 1000000
g22-g55 11 41 43 45 46 49 66 1000000 1000000
g22-g56 11 29 29 31 34 38 43 1000000 1000000
g22-g57 11 19 18 19 29 21 23 14212 1000000
g22-g61 11 31 35 36 38 40 986 1000000 1000000
g22-g62 11 45 46 48 51 55 60 1000000 1000000
g22-g63 11 130 1851 19063 586714 1000000 1000000 1000000 1000000
g22-g64 11 116278 1000000 1000000 1000000 1000000 1000000 1000000 1000000
g22-g65 11 71 71 103 72 72 108 1000000 1000000
g22-g67 11 56 62 66 69 71 73 1000000 1000000
g22-g68 11 8756 52899 696604 1000000 1000000 1000000 1000000 1000000
g22-g69 11 103 77 81 83 86 1668 1000000 1000000
g22-g70 11 59 64 68 71 75 81 388644 1000000
g22-g71 11 71 78 82 84 87 1777 1000000 1000000
g22-g72 11 100 100 102 105 116 653 1000000 1000000
g22-g74 11 139 163 163 154 162 171 1000000 1000000
g22-g75 11 210 218 226 240 257 403 1000000 1000000
g22-g76 11 370 394 404 425 537 454 1000000 1000000
g22-g77 11 582 694 587 608 615 630 1000000 1000000
g22-g78 11 199 216 231 249 269 318 1000000 1000000
g22-g79 11 245 229 234 239 247 275 1000000 1000000
g22-g80 11 293 272 282 369 290 299 304239 1000000
g22-g81 11 543 560 565 569 574 775 1000002 1000001
g22-g83 11 529 550 551 546 527 726 1000001 1000000
g22-g84 11 1393 1482 1697 1539 1497 1528 1000001 1000001
g22-g85 11 460 472 490 511 524 526 750178 1000000
g22-g87 11 547 559 573 599 647 693 1000000 1000000
g22-g88 11 562 581 602 629 675 729 1000001 1000001
g22-g89 11 522 543 605 583 591 672 1000000 1000000
g22-g90 11 1049 1077 1108 1114 1126 1423 1000001 1000003
g22-g91 11 1065 1086 1110 1128 1124 1641 1000002 1000001
g22-g92 11 1394 1497 1428 1452 1479 2143 1000001 1000001
g22-g94 11 1969 2053 1989 2007 2122 2398 1000001 1000001
g22-g95 11 2149 2181 2194 2224 2427 18769 1000001 1000002
g22-g96 11 2275 2197 2267 2341 2425 44959 1000002 1000003
g22-g97 11 2168 2213 2200 2226 2272 9114 1000001 1000003
g22-g98 11 2188 2224 2245 2292 15046 183421 1000001 1000003
g22-g99 11 2243 2259 2244 2127 16207 206724 1000001 1000001
g23-g100 11 2349 2285 2287 2327 2173 2386 2799 1000002
g23-g101 11 2742 2675 2818 2988 2981 2911 1000001 1000004
g23-g102 11 2806 2877 2899 2920 2925 2960 1000001 1000001
g23-g103 11 3075 2899 3128 3109 3127 3138 1000001 1000003
g23-g104 11 7831 7933 8242 8178 8344 116726 1000002 1000002
g23-g105 11 7867 8026 8098 8090 8379 118637 1000002 1000006
g23-g106 11 18022 17882 18446 19275 25549 1000006 1000015 19082
g23-g107 11 17632 17774 17928 18263 22244 1000003 1000016 1000015
g23-g108 11 21738 22024 22214 22470 27935 1000005 1000014 1000003
g23-g109 11 23286 23311 24412 23852 24278 23994 1000009 1000013
g23-g110 11 31113 31275 31516 31705 32039 32285 1000005 1000017
g23-g111 11 33986 34100 34755 36105 43873 1000003 1000016 1000016
g23-g112 11 50572 50920 51118 51302 51609 51903 1000005 1000025
g23-g51 11 14 15 12 40 260 4184 1000000 1000000
g23-g52 11 8 9 10 14 14 16 1000000 1000000
g23-g53 11 11 13 13 17 18 38 1000000 1000000
g23-g54 11 28 29 29 30 31 33 1000000 1000000
g23-g55 11 40 42 40 45 45 48 1000000 1000000
g23-g56 11 29 29 30 31 32 34 1000000 1000000
g23-g57 11 20 21 22 23 36 37 75 1000000
g23-g61 11 31 33 35 37 39 41 1664 1000000
g23-g62 11 67 48 50 71 53 56 1000000 1000000
g23-g63 11 89 73 118 1143 5363 78827 1000000 154
g23-g64 11 30091 1000000 1000000 1000000 1000000 1000000 1000000 1000000
g23-g65 11 69 69 70 71 72 73 1000001 1000000
g23-g67 11 65 60 63 99 101 92 1000000 1000000
g23-g68 11 120 553 1368 314624 1000000 1000000 1000000 1000000
g23-g69 11 97 76 78 81 85 87 1000000 1000000
g23-g70 11 63 67 69 71 107 79 1000000 1000000
g23-g71 11 69 76 79 82 85 88 1000000 1000000
g23-g72 11 101 106 134 113 116 118 1000000 1000000
g23-g74 11 144 152 154 158 164 164 1000000 1000001
g23-g75 11 208 220 229 242 253 265 1000000 1000000
g23-g76 11 382 406 425 527 461 473 1000000 1000000
g23-g77 11 631 581 603 720 635 660 1000000 1000000
g23-g78 11 188 200 204 226 226 317 1000001 1000000
g23-g79 11 223 233 239 273 243 243 1000000 1000000
g23-g80 11 340 305 345 333 308 302 468 1000000
g23-g81 11 556 554 560 562 598 581 1000000 1000001
g23-g83 11 461 523 523 521 524 545 1000000 1000001
g23-g84 11 1333 1530 1416 1497 1535 1565 1000001 1000001
g23-g85 11 541 489 502 508 512 521 761 1000001
g23-g87 11 545 565 577 581 597 616 1000001 1000001
g23-g88 11 552 580 586 595 605 626 1000001 1000001
g23-g89 11 531 554 561 567 576 590 830 1000001
g23-g90 11 1014 1059 1089 1105 1113 1127 1000002 1000001
g23-g91 11 1032 1099 1108 1119 1131 1157 1000001 1000001
g23-g92 11 1378 1408 1449 1435 1645 1484 1000001 1000003
g23-g94 11 1884 1938 1935 2005 2030 2039 1000001 1000001
g23-g95 11 2248 2229 2250 2259 2392 2284 1000001 1000001
g23-g96 11 2179 2215 2250 2270 2276 2299 1000001 1000001
g23-g97 11 2184 2051 2240 2272 2288 2296 1000001 1000001
g23-g98 11 2220 2273 2291 2306 2320 2342 1000001 1000001
g23-g99 11 2215 2246 2285 2309 2315 2353 1000001 1000003
g24-g100 11 2299 2412 2399 2397 2253 1000001 1000003 2444
g24-g101 11 2829 2997 2992 3005 1000001 1000001 1000002 3511
g24-g102 11 3006 3022 3020 3032 1000002 1000004 1000001 3054
g24-g103 11 3206 3210 3218 3379 1000002 1000003 1000002 3256
g24-g104 11 1000002 1000002 1000001 1000001 1000002 8752 8832 8523
g24-g105 11 1000002 1000002 1000002 1000001 1000004 8834 8926 8736
g24-g106 11 1000003 1000014 1000002 1000011 1000014 18984 18875 18588
g24-g107 11 1000003 1000012 1000002 1000010 1000002 19009 18956 18554
g24-g108 11 1000012 1000003 1000009 1000002 1000003 23510 23647 23258
g24-g109 11 24114 24095 23048 1000003 1000003 1000009 1000009 24507
g24-g110 11 30178 32087 32939 1000004 1000015 1000017 1000013 31757
g24-g111 11 1000003 1000019 1000016 1000004 1000004 36345 36292 35983
g24-g112 11 47184 52171 53121 1000013 1000019 1000016 53696 52638
g24-g51 11 25729 1000000 1000000 1000000 1000000 1000000 1771 14
g24-g52 11 10 12 13 15 1000000 1000000 1000000 38
g24-g53 11 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000
g24-g54 11 34 35 55 42 1000000 1000000 1000000 275
g24-g55 11 34 51 34 43 1000000 1000000 1000000 37
g24-g56 11 35 54 37 42 1000000 1000000 1000000 207
g24-g57 11 39 28 30 31 1200 12073 1000000 1000000
g24-g61 11 61 43 43 1000000 1000000 1000000 1000000 47
g24-g62 11 58 59 61 104 117 1000000 1000000 65
g24-g63 11 1019 882 1000000 79 78 78 76 77
g24-g64 11 1000000 1000000 1000000 1000000 1000000 1000000 131 129
g24-g65 11 77 75 76 1000000 1000000 1000000 445 88
g24-g67 11 75 77 76 77 1000000 1000000 1000000 83
g24-g68 11 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000
g24-g69 11 89 92 93 1000000 1000000 1000000 121 149
g24-g70 11 104 84 86 94 328635 1000000 1000000 134
g24-g71 11 89 129 136 1000000 1000000 1000000 152 134
g24-g72 11 117 130 1839 42898 1000000 1000000 1000000 188
g24-g74 11 185 1000000 1000000 1000000 1000000 1000000 1000000 192
g24-g75 11 221 241 251 1000000 1000000 1000000 1000000 33041
g24-g76 11 1450 1000000 1000000 1000000 1000000 1000000 1000000 10172
g24-g77 11 2647 1000000 1000000 1000000 1000000 1000000 1000000 1000000
g24-g78 11 212 232 246 262 1000000 1000000 1000000 223
g24-g79 11 259 263 270 364 1000000 1000000 1000000 291
g24-g80 11 314 331 343 7549 91554 896665 1000000 404
g24-g81 11 582 589 591 697 1000001 1000000 2776 612
g24-g83 11 596 540 547 1000001 1000000 1000001 1000000 554
g24-g84 11 3512 1000001 1000001 1000000 1000001 1000001 1000000 1414
g24-g85 11 626 598 577 571 1000000 1000001 1000001 646
g24-g87 11 610 628 643 721 1000001 1000001 1000000 957
g24-g88 11 612 640 661 736 1000001 1000001 1000000 643
g24-g89 11 615 621 630 660 1000001 1000001 1000001 668
g24-g90 11 1148 1142 1166 1000001 1000001 1000001 1000001 1215
g24-g91 11 1169 1198 1201 1000001 1000001 1000001 1254 1193
g24-g92 11 1552 1623 1562 1000001 1000001 1000001 1679 1581
g24-g94 11 2060 2079 2082 2337 1000001 1000001 1000001 2103
g24-g95 11 2296 1000001 654380 365138 438451 2668 2783 2559
g24-g96 11 1000001 1000000 1000001 1000001 1000001 2877 2656 2592
g24-g97 11 2680 1000001 1000001 689736 556930 2955 2981 2584
g24-g98 11 1000001 1000001 1000001 1000001 1000001 2659 2712 2535
g24-g99 11 1000001 1000003 1000001 1000001 1000001 2534 2763 2676
g25-g100 11 2331 2345 2178 2357 2355 2191 1000001 2451
g25-g101 11 2916 2924 2940 2953 2949 2983 1000002 3107
g25-g102 11 3014 2962 2976 2982 2997 3332 1000004 3058
g25-g103 11 3182 3197 3193 3190 3188 3206 1000001 3257
g25-g104 11 8167 8236 8643 45941 1000001 1000001 1000002 947578
g25-g105 11 8253 8327 8657 45825 1000001 1000002 1000003 973457
g25-g106 11 18049 18675 175532 1000003 1000002 1000010 1000010 18832
g25-g107 11 18199 18317 23701 649963 1000002 1000009 1000004 1000010
g25-g108 11 22315 22627 37366 1000003 1000009 1000011 1000006 1000005
g25-g109 11 23831 23876 23962 24036 24085 24068 1000004 24831
g25-g110 11 30079 31814 31886 32217 32951 33588 1000006 31546
g25-g111 11 34893 35409 221341 1000012 1000012 1000014 1000012 1000011
g25-g112 11 51648 52053 53037 52131 53354 52472 1000007 52707
g25-g51 11 16 26 87 728 23109 586073 1000000 1000000
g25-g52 11 10 11 15 15 15 13 1000000 66
g25-g53 11 12 15 28 113 4832 1000000 1000000 1000000
g25-g54 11 32 32 33 35 37 40 1000000 408
g25-g55 11 32 31 46 32 33 35 1000000 37
g25-g56 11 33 33 34 36 39 60 1000000 340
g25-g57 11 28 28 29 29 29 29 84953 5456
g25-g61 11 40 61 39 57 62 42 1000000 47
g25-g62 11 56 55 56 57 58 61 1000000 65
g25-g63 11 81 301 1331 11265 1000000 68141 263 77
g25-g64 11 70860 901288 1000000 1000000 1000000 1000000 10766 130
g25-g65 11 75 74 74 74 75 75 1000000 88
g25-g67 11 69 72 72 72 74 76 1000000 83
g25-g68 11 632 8325 96869 154001 365529 1000000 1000000 1000000
g25-g69 11 83 85 86 88 89 91 1000000 134
g25-g70 11 78 81 105 82 82 83 1000000 135
g25-g71 11 83 86 87 88 90 91 1000000 136
g25-g72 11 125 131 132 135 140 261 1544 161
g25-g74 11 166 172 174 177 180 183 1000000 257
g25-g75 11 385 293 319 378 276 287 1000000 38172
g25-g76 11 389 405 424 441 461 619 1000000 15158
g25-g77 11 555 578 593 616 638 654 1000000 578
g25-g78 11 202 210 225 243 271 331 1000000 225
g25-g79 11 252 257 258 414 261 257 1000000 317
g25-g80 11 341 323 341 331 335 323 1000001 13939
g25-g81 11 572 580 584 583 587 593 1000000 612
g25-g83 11 502 548 534 533 556 540 1000001 636
g25-g84 11 1339 1391 2072 2014 1512 1684 1000001 1336
g25-g85 11 529 543 541 541 545 549 1000001 586
g25-g87 11 597 598 605 622 645 666 1000000 1634
g25-g88 11 707 611 621 843 668 706 1000001 1034
g25-g89 11 574 604 605 607 614 622 1000001 685
g25-g90 11 1100 1108 1116 1126 1134 1142 1000001 1197
g25-g91 11 1155 1165 1167 1165 1174 1190 1000001 1233
g25-g92 11 1582 1533 1497 1543 1823 1643 1000001 1654
g25-g94 11 2014 1959 2178 2136 2067 2078 1000001 2110
g25-g95 11 2322 2369 2379 2376 2415 2514 1000001 157303
g25-g96 11 2337 2370 2377 2370 2374 77238 1000001 157871
g25-g97 11 2747 2470 2803 2687 10216 1000001 1000004 159499
g25-g98 11 2435 2456 2413 2226 4369 1000001 1000001 173397
g25-g99 11 2364 2390 2443 2507 4425 1000001 1000001 175587
g26-g100 11 2240 2258 2279 2307 2299 2340 2706 1000001
g26-g101 11 2849 2868 2890 2901 2977 2960 14072 1000001
g26-g102 11 2874 2925 2937 2973 2981 3011 1000001 1000004
g26-g103 11 3097 3087 3156 3162 3230 3216 1000001 1000005
g26-g104 11 8023 8727 8092 8153 8654 10853 1000002 1000006
g26-g105 11 8007 8155 8343 8489 8740 10860 1000002 1000001
g26-g106 11 17850 18120 18253 18473 21884 1000003 1000013 19378
g26-g107 11 17714 17969 17897 18448 19855 36037 1000003 1000011
g26-g108 11 22059 22131 22494 22771 24258 47523 1000003 1000019
g26-g109 11 23283 23943 24196 23848 24161 24131 69941 1000003
g26-g110 11 31272 31482 31780 32098 32183 32882 1000004 1000014
g26-g111 11 34146 34536 34558 34998 39619 1000004 1000023 1000020
g26-g112 11 51019 51534 51746 51627 51971 52023 1000005 1000017
g26-g51 11 10 11 15 31 109 415 1000000 1000000
g26-g52 11 9 10 11 11 11 12 51394 1000000
g26-g53 11 17 18 14 14 29 112 1000000 1000000
g26-g54 11 31 31 32 33 34 36 1000000 1000000
g26-g55 11 30 30 31 32 33 34 1000000 1000000
g26-g56 11 32 32 32 34 35 37 1000000 1000000
g26-g57 11 21 23 25 26 27 27 38 1000000
g26-g61 11 34 38 39 40 41 42 2215 1000000
g26-g62 11 51 53 53 54 56 58 1000000 1000000
g26-g63 11 107 96 111 364 1993 21854 1000000 104
g26-g64 11 48850 295827 1000000 1000000 1000000 1000000 1000000 1000000
g26-g65 11 74 73 74 75 76 77 1000000 1000000
g26-g67 11 61 68 69 70 72 76 815 1000000
g26-g68 11 124 4941 45685 217733 1000000 1000000 1000000 1000000
g26-g69 11 96 97 100 103 89 91 575172 1000000
g26-g70 11 66 73 76 78 79 83 255 1000000
g26-g71 11 116 130 105 87 90 91 1000000 1000000
g26-g72 11 111 115 126 129 125 125 16831 1000000
g26-g74 11 153 162 162 167 171 175 1000000 1000000
g26-g75 11 213 232 241 276 264 278 1000000 1000000
g26-g76 11 392 434 428 445 465 488 1000000 1000000
g26-g77 11 551 586 605 619 647 655 1000000 1000000
g26-g78 11 283 307 260 343 247 357 1000000 1000000
g26-g79 11 232 247 249 253 351 316 1000000 1000000
g26-g80 11 282 322 332 336 324 314 382 1000000
g26-g81 11 605 574 576 602 590 595 1000001 1000001
g26-g83 11 511 526 528 536 538 545 1000000 1000000
g26-g84 11 1371 1485 1522 1485 1560 1588 1000001 1000001
g26-g85 11 480 514 673 532 536 545 816 1000001
g26-g87 11 572 589 595 598 615 636 1000001 1000001
g26-g88 11 577 599 604 611 660 651 1000000 1000001
g26-g89 11 552 574 566 597 602 613 895 1000001
g26-g90 11 1220 1096 1106 1138 1136 1243 25461 1000001
g26-g91 11 1096 1127 1110 1161 1170 1177 1000001 1000001
g26-g92 11 1341 1453 1405 1485 1517 1511 1000001 1000001
g26-g94 11 1926 1997 2023 2033 2049 2060 1000001 1000001
g26-g95 11 2299 2553 2332 2344 2515 2232 1000001 1000001
g26-g96 11 2202 2109 2147 2315 2342 2354 1000002 1000001
g26-g97 11 2245 2292 2311 2489 2369 2413 1000001 1000002
g26-g98 11 2286 2324 2374 2377 2521 2480 1000002 1000001
g26-g99 11 2242 2318 2347 2356 2364 2411 1000001 1000001
g27-g100 11 1993 2236 2406 2330 2299 2323 2406 1000001
g27-g101 11 2600 2831 2864 2932 2933 3010 3466 1000002
g27-g102 11 2631 2888 2905 2997 2854 2987 4687 1000002
g27-g103 11 3328 3100 3133 3186 3220 3220 83012 1000002
g27-g104 11 7795 8003 8030 8081 8162 8459 1000002 1000005
g27-g105 11 7874 8025 8108 8398 8231 8545 1000002 1000005
g27-g106 11 17688 17919 18113 18311 18311 18557 1000002 1000013
g27-g107 11 17509 17835 17970 18256 18134 18534 1000002 1000015
g27-g108 11 21779 21755 22334 22214 22302 22498 1000002 1000017
g27-g109 11 23161 22259 23781 23890 23942 23962 26353 1000006
g27-g110 11 30975 31422 31411 31532 31673 31912 590013 1000004
g27-g111 11 33873 34209 34481 34689 35235 35503 1000003 1000020
g27-g112 11 50777 50898 51279 51756 52619 53237 69788 1000008
g27-g51 11 10 11 11 17 31 70 20383 1000000
g27-g52 11 9 10 11 16 11 12 51 1000000
g27-g53 11 15 14 14 14 15 15 35268 1000000
g27-g54 11 26 30 31 32 50 34 909 1000000
g27-g55 11 26 30 31 32 33 33 450 1000000
g27-g56 11 39 31 32 33 33 35 1100 1000000
g27-g57 11 22 22 23 25 25 27 32 1000000
g27-g61 11 32 35 58 62 59 65 59 1000000
g27-g62 11 49 50 52 54 55 57 362 1000000
g27-g63 11 67 73 74 75 78 182 1000003 86
g27-g64 11 8920 83058 459390 1000000 1000000 1000000 1000000 1000000
g27-g65 11 70 70 73 74 76 78 6756 1000000
g27-g67 11 56 64 67 112 74 74 124 1000000
g27-g68 11 126 160 668 1679 54017 233737 1000000 1000000
g27-g69 11 68 78 82 86 88 90 192 1000000
g27-g70 11 63 69 72 77 79 82 90 1000000
g27-g71 11 69 78 84 87 89 91 219 1000000
g27-g72 11 127 187 113 117 143 209 396 1000000
g27-g74 11 145 151 156 160 164 168 3332 1000000
g27-g75 11 227 262 238 244 270 298 111021 1000001
g27-g76 11 390 420 439 462 484 502 1000000 1000000
g27-g77 11 569 621 640 686 684 698 1000000 1000000
g27-g78 11 181 203 207 210 211 213 12578 1000000
g27-g79 11 217 234 250 250 277 254 1338 1000000
g27-g80 11 313 331 298 304 311 310 440 1000000
g27-g81 11 544 561 581 633 714 608 30607 1000000
g27-g83 11 438 570 563 530 541 573 10900 1000000
g27-g84 11 1446 1478 1602 1741 1698 1753 1000002 1000001
g27-g85 11 650 490 501 525 534 543 565 1000001
g27-g87 11 536 585 589 599 605 612 3725 1000001
g27-g88 11 538 582 599 654 615 617 6525 1000001
g27-g89 11 559 555 576 597 637 613 637 1000001
g27-g90 11 1068 1070 1113 1130 1124 1138 1461 1000001
g27-g91 11 1060 1172 1152 1148 1162 1178 2467 1000002
g27-g92 11 1372 1413 1451 1480 1490 1535 3227 1000001
g27-g94 11 1895 1949 1995 2024 2200 2126 2451 1000001
g27-g95 11 2178 2226 2258 2316 2404 2407 2795 1000001
g27-g96 11 2164 2377 2284 2364 2350 2429 2997 1000002
g27-g97 11 2178 2240 2266 2367 2322 2347 2663 1000001
g27-g98 11 2201 2256 2288 2323 2344 2371 4285 1000001
g27-g99 11 2215 2276 2127 2325 2358 2374 4391 1000001
g28-g100 11 2340 2647 2497 2500 2498 2515 1000001 2561
g28-g101 11 3059 2983 3113 3475 3921 1000002 3297 3248
g28-g102 11 3105 3142 3631 1000001 1000003 1000001 3368 3189
g28-g103 11 3442 1000001 1000001 1000001 1000001 1000004 3397 3260
g28-g104 11 8841 27923 147965 1000002 1000004 1000006 9796 9526
g28-g105 11 8960 28160 148201 1000002 1000002 1000002 9872 9665
g28-g106 11 24726 292678 1000003 1000003 1000008 1000008 19557 18667
g28-g107 11 20576 99094 654382 1000003 1000008 1000013 20815 20057
g28-g108 11 25688 144363 1000006 1000003 1000011 1000002 25139 24617
g28-g109 11 24422 24476 24497 26053 28990 1000004 24716 25063
g28-g110 11 282976 30616 1000003 1000021 63317 35219 33009 32277
g28-g111 11 42781 365075 1000010 1000004 1000011 1000010 38494 37699
g28-g112 11 52641 1000014 1000013 1000013 1000013 1000017 55483 53413
g28-g51 11 17 71 219 1000000 1000000 1000000 1000000 1000000
g28-g52 11 27 1294 1000000 1000000 1000000 1000000 23 20
g28-g53 11 18 194 650 1322 3200 7971 1000000 1000000
g28-g54 11 1000000 1000000 1000000 1000000 1000000 47 52 49
g28-g55 11 239 1000000 1000000 1175 21867 108273 69 59
g28-g56 11 1000000 1000000 1000000 1000000 1000000 52 74 48
g28-g57 11 27 33 36 37 37 38 108 1000000
g28-g61 11 49 49 49 58 99 1112 1000000 56
g28-g62 11 1000000 1000000 1000000 8773 93 1000000 82 74
g28-g63 11 2891 1000000 1000000 1000000 1000000 1000000 1000001 1000001
g28-g64 11 1000000 1000000 1000000 1000000 1000000 1000000 178 206
g28-g65 11 1330 1000000 1000000 1000000 1000000 1900 1000001 101
g28-g67 11 81 88 88 104 155 1000000 96 96
g28-g68 11 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000
g28-g69 11 98 107 162 506 2489 37363 574 151
g28-g70 11 82 97 99 218 75278 1000000 134 167
g28-g71 11 99 113 242 16402 1000000 1000000 666 156
g28-g72 11 120 153 224 678 39410 1000000 512 362
g28-g74 11 1000000 1000000 1000000 1000000 1000000 1000000 236 208
g28-g75 11 1000000 1000000 1000000 1000000 1000000 172183 369 344
g28-g76 11 1000000 1000000 1000000 1000000 1000000 5326 414 413
g28-g77 11 871370 1000000 1000000 1000000 1000000 1000000 1000000 604
g28-g78 11 1000000 1000000 541873 261 1000000 1000000 239 247
g28-g79 11 539 1000001 1000000 1000000 1000001 1000001 350 319
g28-g80 11 309 350 379 381 391 378 1000001 1000001
g28-g81 11 1750 1000001 1000000 1000000 1000001 1000001 689 664
g28-g83 11 560 65024 1000001 1000000 1000001 1000000 600 599
g28-g84 11 1000001 1511 1000001 1486 1489 1000001 1484 1000001
g28-g85 11 567 640 600 602 604 605 1000001 643
g28-g87 11 679 1000001 1000002 256472 854 905 859 707
g28-g88 11 5615 776657 1000001 30631 1000001 2671 712 696
g28-g89 11 625 666 779 697 695 971 1000001 700
g28-g90 11 1187 1200 1208 1573 1000001 1000001 1230 1230
g28-g91 11 1220 347713 1000001 1000002 1000001 1000001 1395 1300
g28-g92 11 1648 1000001 1000003 1000001 1000001 1000001 1764 1649
g28-g94 11 2166 2279 1000001 1000001 1000001 1000001 2238 2208
g28-g95 11 2311 2462 2600 2841 4285 9962 1000001 1000001
g28-g96 11 2316 2480 2650 4182 13822 52366 3708 3578
g28-g97 11 2320 2493 2593 2848 4865 16728 4711 3467
g28-g98 11 2767 2640 3250 12236 79892 495005 3409 3214
g28-g99 11 2218 2584 3188 12416 85014 482139 3387 3135
g29-g100 11 2154 2168 2165 2162 2165 2153 2187 4293
g29-g101 11 2703 2720 2648 2741 2729 2711 2873 162318
g29-g102 11 2737 2822 2739 2756 2772 2788 2996 406394
g29-g103 11 3024 2956 3076 3082 3250 3315 3416 1000004
g29-g104 11 7707 7728 7787 7762 7799 7806 10094 1000001
g29-g105 11 7846 7838 7833 7867 7923 8004 10226 1000002
g29-g106 11 17340 17553 17641 17630 17766 17742 86669 1000006
g29-g107 11 17558 17457 17544 17643 17601 17709 30020 1000002
g29-g108 11 21650 21863 21750 22840 22046 21844 42767 1000003
g29-g109 11 23128 22988 23168 23000 22964 23262 23597 735852
g29-g110 11 30775 31244 31086 31127 31298 33294 1000009 1000014
g29-g111 11 33794 31775 33676 33842 34216 34300 117518 1000003
g29-g112 11 50638 50530 45235 50440 50705 50708 51062 1000004
g29-g51 11 11 11 11 13 10 13 14 189567
g29-g52 11 11 10 10 9 9 9 10 36039
g29-g53 11 12 12 12 12 12 12 40 21601
g29-g54 11 40 26 27 27 27 39 297 1000000
g29-g55 11 27 25 25 25 25 25 44 107716
g29-g56 11 28 27 27 27 28 28 649 1000000
g29-g57 11 24 34 23 22 21 21 21 55
g29-g61 11 33 32 31 30 30 30 36 4983
g29-g62 11 48 46 45 45 45 68 49 1000000
g29-g63 11 64 64 68 71 77 143 60597 1000000
g29-g64 11 50491 294978 1000000 1000000 1000000 1000000 1000000 1000000
g29-g65 11 73 60 61 63 65 76 84 1000000
g29-g67 11 56 56 56 55 55 55 65 11454
g29-g68 11 137 42587 369777 845359 1000000 1000000 1000000 1000000
g29-g69 11 69 69 68 68 68 68 80 11666
g29-g70 11 86 65 64 64 64 63 68 1076
g29-g71 11 90 69 69 100 71 69 93 15274
g29-g72 11 106 107 106 107 107 124 107 3650
g29-g74 11 142 143 143 159 210 144 1643 1000000
g29-g75 11 216 250 249 264 271 1967 1000000 1000000
g29-g76 11 401 441 471 580 684 10128 1000000 1000000
g29-g77 11 578 637 660 692 702 20742 1000000 1000001
g29-g78 11 168 171 179 183 188 196 12203 1000000
g29-g79 11 294 218 324 319 341 278 355 577345
g29-g80 11 282 280 279 286 280 283 319 548
g29-g81 11 654 581 527 539 743 553 797 1000001
g29-g83 11 462 457 465 496 477 570 573 1000001
g29-g84 11 1461 1635 1678 1734 1809 23322 1000001 1000001
g29-g85 11 474 483 472 470 595 470 515 1510
g29-g87 11 520 521 528 541 549 548 758 1000000
g29-g88 11 603 528 537 559 599 676 1463 1000001
g29-g89 11 530 532 533 533 528 533 563 2123
g29-g90 11 989 1105 1069 992 1014 1021 1088 95520
g29-g91 11 1137 1052 1134 1070 1058 1062 1092 299809
g29-g92 11 1363 1361 1361 1369 1372 1582 1448 335222
g29-g94 11 1951 1853 1852 2163 1890 1959 2133 129491
g29-g95 11 2184 2180 2182 2178 2250 2021 2206 8592
g29-g96 11 2182 2188 2188 2185 2196 2186 2529 12317
g29-g97 11 2190 2192 2186 2192 2187 2190 2057 10276
g29-g98 11 2250 2251 2389 2292 2287 2221 2310 30419
g29-g99 11 2200 2238 2215 2207 2213 2219 2252 30490
g3-g100 11 1886 2264 2627 80241 2400 2158 2189 2150
g3-g101 11 2734 36179 126783 8424 2725 2650 2652 2642
